,title,link_to_recipe,link_to_image
0,"12345 

Varškės ir fermentinio sūrio pyragas
8 asm.



Išbandykite receptą iš knygos „Desertai. 365 receptai“.   
Žymės: varškė, pyragas, sūrio pyragas, fermentinis sūris, kepinys",https://www.15min.lt/maistas/receptas/varskes-ir-fermentinio-surio-pyragas-8796,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD01MDYwOTcwJmRhdGU9MjAxOSUyRjExJTJGMDUsMjI0MDg1MTA4OA==/varskes-ir-fermentinio-surio-pyragas-shutterstock-5dc1509d223a1.jpg
1,"12345 

Migdolų saldainiai su kakava
6 asm.



Šių naminių saldainių receptas –  iš knygos „Desertai. 365 receptai“. Kviečiame išbandyti!   
Žymės: saldumynas, desertas, saldainiai, migdolai, kakava",https://www.15min.lt/maistas/receptas/migdolu-saldainiai-su-kakava-8794,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD01MzA0OTc2JmRhdGU9MjAyMCUyRjA0JTJGMDIsMzg3ODMxMTMwMg==/migdolu-saldainiai-su-kakava-shutterstock-5e8588b1ce146.jpg
2,"12345 

Silkė su burokėliais ir bulvėmis
2 asm.



Silkės mėgėjai žino – ši žuvis tikrai tinka ne tik ant Kūčių stalo. Išbandykite receptą, kuris tiks bet kuriuo metų laiku!   
Žymės: Bulvės, burokėliai, silkė",https://www.15min.lt/maistas/receptas/silke-su-burokeliais-ir-bulvemis-8792,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD01MzA4NTUyJmRhdGU9MjAyMCUyRjA0JTJGMDYsMTcyODA2MDY1Ng==/5e86fbc10d784-5e8b1489b2b3b.jpg
3,"12345 

Sumuštinis su lašiša ir kiaušiniu
2 asm.



Šis sumuštinis – maistingas ir skanus pasirinkimas pusryčiams.    
Žymės: kiaušiniai, Lašiša, sumuštinis, pusryčiai",https://www.15min.lt/maistas/receptas/sumustinis-su-lasisa-ir-kiausiniu-8790,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD01MzA4NTU2JmRhdGU9MjAyMCUyRjA0JTJGMDYsMTk3OTI1ODk1NQ==/5e86fbc1362fa-5e8b148bf22e4.jpg
4,"12345 

Makaronai su gorgonzolos padažu
2 asm.



Išbandykite makaronų patiekalą, kurio receptu vienoje TV laidoje pasidalino iš Italijos kilęs virtuvės šefas Gian Luca Demarco.   
Žymės: makaronai, Itališkas, gorgonzola, makaronai su sūriu",https://www.15min.lt/maistas/receptas/makaronai-su-gorgonzolos-padazu-8788,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD01MzA2NzQyJmRhdGU9MjAyMCUyRjA0JTJGMDMsMjQxNDA5NjgyNA==/makaronai-su-gorgonzolos-padazu-5e8712723b5bd.jpg
5,"12345 

Pavasarinės salotos su keptu varškės sūriu
2 asm.



Šių, iš pirmo žvilgsnio, paprastų salotų „žvaigžde“ taps varškės sūris. Būtinai išbandykite!   
Žymės: salotos, sūris, varškės sūris",https://www.15min.lt/maistas/receptas/pavasarines-salotos-su-keptu-varskes-suriu-8786,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD01MzAyMjEwJmRhdGU9MjAyMCUyRjAzJTJGMzAsMjEwNzcxMTcwOA==/vakarienei-pavasarines-salotos-su-keptu-varskes-suriu_pexelscom-nuotr-5e8209ad4adc5.jpg
6,"12345 

Kiaušinienė brokolių patale
4 asm.



Šis patiekalas – puikus būdas ne tik suvalgyti daugiau daržovių, bet ir sunaudoti jų likučius.   
Žymės: brokoliai, kiaušiniai, daržovės, kiaušinienė, pusryčiai",https://www.15min.lt/maistas/receptas/kiausiniene-brokoliu-patale-8784,https://s1.15min.lt/static/cache/MjIweDIwMCw2MjN4MzQyLDYxNjE2MyxvcmlnaW5hbCwsaWQ9NTMwMjIwOCZkYXRlPTIwMjAlMkYwMyUyRjMwLDkxNDUzNjI5Mw==/pusryciams-kiausiniene-brokoliu-patal-e_pixlrcom-nuotr-5e8209accad6d.jpg
7,"12345 

Bananiniai blynai iš 3 ingredientų
2 asm.



Nemažai blynų receptų jau ir šiaip nereikalauja daugybės ingredientų, tačiau ką jūs manote apie tokius, kuriems pakanka vos 3-ų? Jei pritariamai linksite galva, išbandykite šiuos itin greitus kepinukus, kurie savo tekstūra balansuoja tarp blynelių ir bananinių omletukų.    
Žymės: blynai, bananai, pusryčiai, bananų blynai",https://www.15min.lt/maistas/receptas/bananiniai-blynai-is-3-ingredientu-8782,https://s1.15min.lt/static/cache/MjIweDIwMCwxMTUzeDQ2NCw2MTYxNjMsb3JpZ2luYWwsLGlkPTUzMDQyNzYmZGF0ZT0yMDIwJTJGMDQlMkYwMSw3NjEyMzc3OTU=/bananiniai-blyneliai-5e846add2cc48.jpg
8,"12345 

Lengvas pieno kremo desertas su liofilizuotomis uogomis
2 asm.



Išbandykite įdomų, nesunkiai paruošiamą desertą, kurio receptu vienoje TV laidoje dalinosi virtuvės šefas Tomas Rimvydis.   
Žymės: saldumynas, desertas, uogos, pienas, želė",https://www.15min.lt/maistas/receptas/lengvas-pieno-kremo-desertas-su-liofilizuotomis-uogomis-8780,https://s1.15min.lt/static/cache/MjIweDIwMCw3NDB4NTg2LDYxNjE2MyxvcmlnaW5hbCwsaWQ9NTMwNjI4OCZkYXRlPTIwMjAlMkYwNCUyRjAzLDM5NDc3OTI4MTk=/pieno-desertas-su-dziovintomis-uogomis-5e86dafd643fe.jpg
9,"12345 

Vištos krūtinėlių suktinukai, įdaryti sūriu ir špinatais
2 asm.



Nida Degutienė: Labai dažnai šventiškoms vakarienėms aš renkuosi vištieną. Į krūtinėlių mėsą galima įsukti pačius įvairiausius įdarus, o iškepus ir supjausčius, turėsite restoraninio lygio patiekalą! Šįsyk pagrindiniam patiekalui siūlau rinktis šviežius špinatus ir sūrį. Tiks ir tas sūris, kuris spėjo šaldytuve šiek tiek padžiūti – sutarkuokite jį ir įmaišykite į įdarą. Galite sumaišyti kelių rūšių sūrius, o jei turite gabalėlį mėlynojo pelėsinio – būtinai įmaišykite ir jo.   
Žymės: vištiena, špinatai, sūris, paukštiena, Suktinukai, vištos krūtinėlė, šventinis, mėsos patiekalas",https://www.15min.lt/maistas/receptas/vistos-krutineliu-suktinukai-idaryti-suriu-ir-spinatais-8778,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD01MzA4NDcyJmRhdGU9MjAyMCUyRjA0JTJGMDYsMzUyNTUyNTQxMg==/vistos-krutineliu-suktinukai-idaryti-suriu-ir-spinatais-5e8b04547fb1a.jpg
10,"12345 

Maltos kiaulienos terinas su žirneliais Velykoms
6 asm.



Renata Ničajienė („Sezoninė virtuvė“): Šiam terinui labiausiai tiks namuose maltas kiaulienos kumpis ir sodo prieskoninių žolelių mišinys iš petražolių, rozmarinų, mairūnų, bazilikų, raudonėlių, čiobrelių bei dašių. O kad jis būtų dar skanesnis ir žaismingesnis į mėsą pribėriau šaldytų žaliųjų žirnelių. 
Žymės: kiauliena, Žirneliai, Velykinis, mėsos patiekalas, malta kiauliena, terinas",https://www.15min.lt/maistas/receptas/maltos-kiaulienos-terinas-su-zirneliais-velykoms-8776,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD01MzEwNzI4JmRhdGU9MjAyMCUyRjA0JTJGMDgsMzE5MjM1NTA0NQ==/maltos-kiaulienos-terinas-su-zirneliais-5e8d8ba131bb9.jpg
11,"12345 

Raudonojo vyno padaže troškinta jautiena
4 asm.



Išbandykite receptą iš debiutinės virtuvės šefo Gian Lucos Demarco kulinarinės knygos.   
Žymės: padažas , jautiena, šventinis, raudonasis vynas, troškinta jautiena, mėsos patiekalas",https://www.15min.lt/maistas/receptas/raudonojo-vyno-padaze-troskinta-jautiena-8774,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD01MzEzMTM4JmRhdGU9MjAyMCUyRjA0JTJGMTAsMTkyNjQyNTY0/raudonojo-vyno-padaze-troskinta-jautiena-5e904fdf1e5d4.jpg
12,"12345 

Ėrienos šonkauliukai su pistacijomis
6 asm.



Išbandykite šventinį patiekalą, kurį vienoje TV laidoje pristatė žinomas virtuvės šefas Gian Luca Demarco.   
Žymės: šonkauliukai, pistacijos, ėriena, šventinis, mėsos patiekalas",https://www.15min.lt/maistas/receptas/erienos-sonkauliukai-su-pistacijomis-8772,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD01MzEzNDQ2JmRhdGU9MjAyMCUyRjA0JTJGMTAsNjQxODYxNTU1/erienos-sonkauliukai-su-pistacijomis-5e906a3f9e026.jpg
13,"12345 

Šventinis keksas su lazdynų riešutais
6 asm.



Nida Degutienė: Šis keksas tiks bet kuriai jūsų šventei. Kaip ir dera geram naminiam kepiniui, js ne tik minkštas ir purus, bet dar ir aromatingas: praturtintas lazdynų riešutų pagardais. Tirštas šokolado glajus neleis keksui išdžiūti, tad mėgautis galėsite nors ir visą savaitę. Jei ieškote greito, nesudėtingo ir visuomet pasiseksiančio deserto – drąsiai rinkitės šį šventinį keksą!   
Žymės: desertas, keksas, Velykinis, lazdynų riešutai, šventinis, kepinys",https://www.15min.lt/maistas/receptas/sventinis-keksas-su-lazdynu-riesutais-8770,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD01MzEwNjgwJmRhdGU9MjAyMCUyRjA0JTJGMDgsMjU0NzM0ODY3OQ==/velykinis-keksas-su-lazdynu-riesutais-5e8d80cf46fdf.jpg
14,"12345 

Itališkas braunis „Torta Caprese“
6 asm.



Virginija Pupeikytė-Dzhumerova (Tekstoranas): Iškepti šį pyragą paprasta, tik šiukštu neperkepkit! 45 minutės ir traukite iš orkaitės. „Torta Caprese“, kaip ir šokoladainis (angl. brownie), gali atrodyti neiškepęs, bet iš tikrųjų būna iškepęs, tereikia duoti truputį laiko jam atvėsti.   
Žymės: pyragas, desertas, Itališkas, itališkas desertas, be glitimo, kepinys, be gliuteno",https://www.15min.lt/maistas/receptas/italiskas-braunis-torta-caprese-8768,https://s1.15min.lt/static/cache/MjIweDIwMCw4NjZ4OTUyLDYxNjE2MyxvcmlnaW5hbCwsaWQ9NTMwNTE4NiZkYXRlPTIwMjAlMkYwNCUyRjAyLDI5NjIzNjIzNjY=/italiskas-pyragas-torta-caprese-5e85987845a6d.jpg
15,"12345 

Naminis rikotos sūris su mėtomis
2 asm.



Jei niekada nesate gaminę naminio sūrio, gal kaip tik pats metas tą padaryti? Nesudėtingu receptu dalinasi profesionali kulinarė Laura, kurianti tinklaraštį „Bulvių košė“.   
Žymės: rikota, mėtos, rikotos sūris, naminis sūris",https://www.15min.lt/maistas/receptas/naminis-rikotos-suris-su-metomis-8766,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD01MzA5NDUyJmRhdGU9MjAyMCUyRjA0JTJGMDcsMTczMTIyNDUz/naminis-rikotos-suris-su-metomis-5e8c442218803.jpg
16,"12345 

Saldus lavašo desertas su varške ir uogomis
4 asm.



Ypatingų ingredientų neprireiks, o desertas nustebins. Uogas galite rinktis tokias, kokių turite ir labiausiai patinka.    
Žymės: varškė, lavašas, desertas, uogos, Vyniotinis",https://www.15min.lt/maistas/receptas/saldus-lavaso-desertas-su-varske-ir-uogomis-8764,https://s1.15min.lt/static/cache/MjIweDIwMCw3NDR4ODgxLDYxNjE2MyxvcmlnaW5hbCwsaWQ9NTMxMzM3MiZkYXRlPTIwMjAlMkYwNCUyRjEwLDY5MTUyMjcxOQ==/saldus-lavaso-desertas-su-varske-ir-uogomis-5e905edcc4125.jpg
17,"12345 

Silkių filė įdaryti kiaušiniai
4 asm.



Išbandykite itin netikėtą, bet puikų įdarytų kiaušinių receptą.    
Žymės: užkandėlė, kiaušiniai, užkandis, Įdaryti kiaušiniai, silkė, velykiniai",https://www.15min.lt/maistas/receptas/silkiu-file-idaryti-kiausiniai-8762,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD01MzEzMjkwJmRhdGU9MjAyMCUyRjA0JTJGMTAsMzQ4MTI0ODIwNw==/silkiu-file-idaryti-kiausiniai-shutterstock-5e9058482817a.jpg
18,"12345 

Nesaldus neapolietiškas mielinis Velykų pyragas
6 asm.



Tradicinių velykiniu receptu, kilusiu iš Italijos, Neapolio, dalijasi nemažai metų Lietuvoje gyvenantis virtuvės šefas ir TV laidų vedėjas Gian Luca Demarco. 
Žymės: pyragas, Itališkas, Velykinis, nesaldus pyragas, velykinis pyragas, nesaldus kepinys",https://www.15min.lt/maistas/receptas/nesaldus-neapolietiskas-mielinis-velyku-pyragas-8760,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD01MzExMTcwJmRhdGU9MjAyMCUyRjA0JTJGMDgsMzE2Nzk4MTgzOA==/neapolietiskas-velyku-pyragas-5e8db8788c2ae.jpg
19,"12345 

Šaldytos tešlos suktinis su mėsa ir daržovėmis
2 asm.



Jei turite reikiamų produktų, gal ir jūs išbandysite šį virtuvės šefo Tomo Rimvydžio suktinį, demonstruotą vienoje TV laidoje?   
Žymės: šaldyta tešla, mėsa, jautiena, daržovės",https://www.15min.lt/maistas/receptas/saldytos-teslos-suktinis-su-mesa-ir-darzovemis-8758,https://s1.15min.lt/static/cache/MjIweDIwMCw4NjF4NjE4LDYxNjE2MyxvcmlnaW5hbCwsaWQ9NTMxMzUwOCZkYXRlPTIwMjAlMkYwNCUyRjEwLDIxMjI1MTcyMzM=/saldytos-teslos-suktinis-su-mesa-ir-darzovemis-5e906f80dffdf.jpg
